scenario_id;iso_foot_pickup_time;pickup_foot_size;iso_car_pickup_time;pickup_car_size;iso_foot_dropoff_time;dropoff_foot_size;iso_car_dropoff_time;dropoff_car_size;psi_pickup_time;psi_pickup_size;psi_dropoff_time;psi_dropoff_size;path_computing_time;shared_path_size;path_ordering_foot_time;path_ordering_car_time;cd_total_cost;cc_total_cost;ecart_cost;diff_cost;ecart_distance_pickup (meters);ecart_distance_dropoff (meters);cd_len1;cc_len1;cd_len2;cc_len2;cd_len3;cc_len3;cd_len4;cc_len4;cd_len5;cc_len5;foot1;car1;foot2;car2;cd_waiting_time;cd_waiting_time;diff_waiting_time;cd_total_cost;ccl_total_cost;ecart_cost_2;diff_cost_2;cc_runtime;ccl_runtime
2;0.000972986221313;129;0.0105509757996;11097;0.00059700012207;29;0.00385904312134;4906;114.210232973;110;14.7366981506;12;0.501770973206;1320;0.0057110786438;1.39431500435;4344;4226;118;118;97.5797;0;300;231;210;220;1558;1568;30;30;598;598;27729;28769;70432;10151;90;11;79;4344;4226;118;118;4729.99999999999;389.99999999998636
3;0.000654935836792;23;0.000877857208252;202;0.000722169876099;6;0.00579714775085;4965;0.527934074402;1;5.71940302849;6;0.0499501228333;6;1.71661376953e-05;0.00432586669922;6100;5867;233;233;355.877;81.8833;289;545;577;493;2245;2180;58;0;398;417;17341;64389;52619;64352;288;52;236;6100;6099;1;1;1460.000000000008;159.99999999999659
4;0.00162601470947;62;0.00445795059204;4403;0.000607967376709;104;0.00520205497742;5624;23.7009670734;50;48.2080628872;79;2.82682609558;3950;0.0187289714813;2.43111395836;3987;3885;102;102;385.769;53.4404;103;497;530;512;1225;1208;38;0;439;445;32142;20546;18060;6041;427;15;412;3987;3949;38;38;830.00000000001251;90.000000000003411
