scenario_id;iso_foot_pickup_time;pickup_foot_size;iso_car_pickup_time;pickup_car_size;iso_foot_dropoff_time;dropoff_foot_size;iso_car_dropoff_time;dropoff_car_size;psi_pickup_time;psi_pickup_size;psi_dropoff_time;psi_dropoff_size;path_computing_time;shared_path_size;path_ordering_foot_time;path_ordering_car_time;cd_total_cost;cc_total_cost;ecart_cost;diff_cost;cd_total_cost;ccl_total_cost;ecart_cost_2;diff_cost_2;ecart_distance_pickup (meters);ecart_distance_dropoff (meters);ecart_distance_pickup_2 (meters);ecart_distance_dropoff_2 (meters);cd_len1;cd_len2;cd_len3;cd_len4;cd_len5;cc_len1;cc_len2;cc_len3;cc_len4;cc_len5;ccl_len1;ccl_len2;ccl_len3;ccl_len4;ccl_len5;foot1;car1;foot2;car2;cd_waiting_time;cc_waiting_time;ecart_waiting_time;cd_waiting_time;ccl_waiting_time;ecart_waiting_time_2;cc_runtime;ccl_runtime
27;0.0010290145874;58;0.00255393981934;2101;0.000509023666382;15;0.0138890743256;11616;10.678632021;41;21.0075380802;15;0.883543014526;615;0.00117993354797;0.61737203598;3937;3889;48;48;3937;3891;46;46;226.739;28.064;84.493;28.064;199;354;1524;19;162;361;328;1501;0;165;259;345;1518;0;165;34577;45453;5247;24304;155;33;122;155;86;69;269.99999999998181;89.999999999918145
28;0.00188994407654;41;0.0138499736786;13001;0.000636100769043;23;0.00199508666992;1625;48.9707820415;32;3.99374604225;23;0.710548877716;736;0.00192093849182;0.865445137024;3871;3761;110;110;3871;3761;110;110;215.907;23.3372;215.907;23.3372;77;273;1389;17;530;220;249;1369;0;525;220;249;1369;0;525;47525;422;22201;38959;196;29;167;196;29;167;400.00000000009095;69.999999999936335
32;0.0013427734375;29;0.0029730796814;2686;0.00069785118103;63;0.00735402107239;7141;7.69071698189;25;38.2843408585;45;0.37955904007;1125;0.00323915481567;0.652511119843;3946;3946;0;0;3946;3946;0;0;0;0;0;0;235;220;1450;11;565;235;220;1450;11;565;235;220;1450;11;565;42737;34374;28026;32265;15;15;0;15;15;0;250;69.999999999936335
35;0.00322198867798;28;0.00326204299927;3847;0.000691175460815;45;0.00958490371704;7322;10.7463409901;23;29.9631910324;36;0.755012989044;828;0.00188493728638;0.503473997116;3945;3839;106;106;3945;3941;4;4;262.143;291.301;262.143;405.033;8;240;1298;217;652;193;269;1340;0;621;193;269;1352;115;584;5458;17988;31103;62873;232;76;156;232;76;156;369.99999999989086;120.00000000011823
36;0.00101208686829;44;0.00783705711365;8345;0.00048303604126;11;0.00872993469238;8350;33.7946820259;34;12.8689119816;11;0.405514955521;374;0.000777959823608;0.39311504364;3797;3678;119;119;3797;3678;119;119;0;291.869;0;291.869;115;110;1427;230;483;115;110;1464;0;520;115;110;1464;0;520;41468;53851;51063;25075;5;5;0;5;5;0;490.00000000000909;149.99999999986358
37;0.0031111240387;79;0.00308084487915;3754;0.000715970993042;115;0.00847601890564;7877;25.1620690823;64;74.7068309784;67;2.22657680511;4288;0.025032043457;2.8958170414;3523;3296;227;227;3523;3296;227;227;142.801;172.704;142.801;172.704;138;297;1184;141;420;273;277;1184;2;372;273;277;1184;2;372;59413;30479;40784;31262;159;4;155;159;4;155;259.99999999999091;69.999999999936335
40;0.00100994110107;97;0.00501894950867;4887;0.000653028488159;16;0.0124230384827;11927;39.3888599873;85;22.8353528976;16;0.659492969513;1360;0.00462794303894;1.78050994873;3667;3382;285;285;3667;3382;285;285;698.789;271.882;368.824;271.882;2;523;1012;195;402;541;543;967;0;362;302;504;1006;0;362;21833;34746;21508;59160;521;2;519;521;202;319;309.99999999994543;89.999999999918145
44;0.00121688842773;178;0.0138108730316;12102;0.000494956970215;3;0.00969195365906;5969;171.028659105;118;5.49909710884;1;0.0422809123993;118;0.000822067260742;0.347150802612;3136;2823;313;313;3136;2823;313;313;15.6489;289.973;15.6489;289.973;128;74;1030;216;604;115;76;1008;0;577;115;76;1008;0;577;30466;65498;17904;45866;54;39;15;54;39;15;420.00000000007276;99.999999999909051
46;0.0014660358429;91;0.00423121452332;3992;0.00056791305542;46;0.00651216506958;6743;29.771173954;48;27.7851860523;34;1.42490196228;1632;0.00649094581604;1.11286115646;3201;3201;0;0;3201;3201;0;0;0;0;0;0;152;140;1188;30;491;152;140;1188;30;491;152;140;1188;30;491;921;66035;66839;64565;12;12;0;12;12;0;309.99999999994543;110.00000000012733
49;0.00114512443542;6;0.0112199783325;7795;0.000962018966675;90;0.0106689929962;6309;8.89761519432;6;46.5801980495;80;0.310992956161;480;0.00142192840576;0.44589304924;4444;4330;114;114;4444;4410;34;34;91.3912;3.83513;40.4561;3.83513;270;420;1648;2;306;355;392;1620;0;306;299;410;1642;0;306;2643;28155;38578;57364;150;37;113;150;111;39;380.00000000010914;89.999999999918145
